date,retail_mobility,transit_mobility,workplaces_mobility,residential_mobility
2022-07-30,-28.0,-8.0,-27.0,-6.0
2022-07-31,-21.0,11.0,-10.0,-12.0
2022-08-01,-27.0,-14.0,-37.0,0.0
2022-08-02,-19.0,-12.0,-37.0,1.0
2022-08-03,-16.0,-7.0,-37.0,-1.0
2022-08-04,-19.0,-10.0,-37.0,-2.0
2022-08-05,-26.0,-12.0,-37.0,-4.0
2022-08-06,-39.0,-17.0,-31.0,-5.0
2022-08-07,-24.0,3.0,-12.0,-12.0
2022-08-08,-25.0,-14.0,-38.0,0.0
2022-08-09,-17.0,-9.0,-37.0,-1.0
2022-08-10,-16.0,-8.0,-37.0,-1.0
2022-08-11,-17.0,-10.0,-37.0,-1.0
2022-08-12,-24.0,-12.0,-37.0,-2.0
2022-08-13,-29.0,-4.0,-29.0,-8.0
2022-08-14,-26.0,3.0,-12.0,-13.0
2022-08-15,-19.0,-9.0,-38.0,1.0
2022-08-16,-18.0,-10.0,-38.0,1.0
2022-08-17,-18.0,-9.0,-38.0,2.0
2022-08-18,-19.0,-11.0,-38.0,2.0
2022-08-19,-25.0,-12.0,-38.0,1.0
2022-08-20,-31.0,-6.0,-29.0,-6.0
2022-08-21,-25.0,2.0,-12.0,-10.0
2022-08-22,-19.0,-9.0,-37.0,3.0
2022-08-23,-16.0,-8.0,-37.0,3.0
2022-08-24,-16.0,-7.0,-37.0,3.0
2022-08-25,-16.0,-10.0,-37.0,3.0
2022-08-26,-21.0,-10.0,-36.0,2.0
2022-08-27,-26.0,-2.0,-28.0,-5.0
2022-08-28,-21.0,8.0,-11.0,-11.0
2022-08-29,-14.0,-4.0,-35.0,1.0
2022-08-30,-19.0,-9.0,-35.0,3.0
2022-08-31,-18.0,-10.0,-36.0,5.0
2022-09-01,-14.0,-9.0,-38.0,3.0
2022-09-02,-24.0,-7.0,-34.0,0.0
2022-09-03,-22.0,-3.0,-29.0,-3.0
2022-09-04,-23.0,-1.0,-17.0,-5.0
2022-09-05,-21.0,-4.0,-34.0,0.0
2022-09-06,-22.0,-6.0,-34.0,1.0
2022-09-07,-20.0,-4.0,-34.0,1.0
2022-09-08,-21.0,-6.0,-34.0,0.0
2022-09-09,-23.0,-5.0,-32.0,-1.0
2022-09-10,-23.0,2.0,-26.0,-5.0
2022-09-11,-19.0,7.0,-13.0,-9.0
2022-09-12,-22.0,-3.0,-32.0,0.0
2022-09-13,-23.0,-5.0,-33.0,1.0
2022-09-14,-23.0,-6.0,-33.0,1.0
2022-09-15,-22.0,-8.0,-32.0,1.0
2022-09-16,-26.0,-8.0,-30.0,1.0
2022-09-17,-26.0,-5.0,-25.0,-2.0
2022-09-18,-21.0,3.0,-15.0,-6.0
2022-09-19,-28.0,-9.0,-29.0,1.0
2022-09-20,-22.0,-5.0,-29.0,1.0
2022-09-21,-23.0,-4.0,-29.0,1.0
2022-09-22,-24.0,-7.0,-29.0,1.0
2022-09-23,-26.0,-7.0,-27.0,0.0
2022-09-24,-25.0,0.0,-22.0,-4.0
2022-09-25,-31.0,-10.0,-18.0,-4.0
2022-09-26,-27.0,-7.0,-26.0,1.0
2022-09-27,-25.0,-6.0,-26.0,1.0
2022-09-28,-26.0,-7.0,-27.0,1.0
2022-09-29,-27.0,-10.0,-26.0,1.0
2022-09-30,-28.0,-9.0,-24.0,1.0
2022-10-01,-25.0,-1.0,-20.0,-4.0
2022-10-02,-24.0,0.0,-15.0,-6.0
2022-10-03,-32.0,-11.0,-23.0,2.0
2022-10-04,-25.0,-8.0,-22.0,2.0
2022-10-05,-24.0,-6.0,-22.0,2.0
2022-10-06,-27.0,-11.0,-21.0,2.0
2022-10-07,-28.0,-8.0,-20.0,1.0
2022-10-08,-26.0,-4.0,-17.0,-3.0
2022-10-09,-23.0,-1.0,-14.0,-6.0
2022-10-10,-25.0,-7.0,-20.0,1.0
2022-10-11,-25.0,-8.0,-20.0,1.0
2022-10-12,-22.0,-5.0,-20.0,1.0
2022-10-13,-23.0,-7.0,-19.0,1.0
2022-10-14,-27.0,-8.0,-18.0,1.0
2022-10-15,-23.0,-1.0,-15.0,-3.0
